full_ID,ID,year,date,month,season,river,site,sample,ref,type,10_0,12_0,13_0,14_0,16_0,17_0,18_0,19_0,20_0,10_0_2oh,11_0_2oh,11_0_3oh,11_0_anteiso,12_0_anteiso,12_0_3oh,12_1_3oh,13_0_anteiso,13_0_iso,13_0_2oh,13_1_at_12_13,14_0_anteiso,14_0_iso,14_0_iso_3oh,14_1_w5c,15_0_2oh,15_0_anteiso,15_0_iso,15_0_iso_3oh,15_1_iso_g,15_1_iso_w9c,15_1_w5c,15_1_w8c,16_0_anteiso,16_0_n_alcohol,16_0_iso,16_0_iso_3oh,16_0_2oh,16_1_2oh,16_1_iso_h,16_1_w5c,16_1_w7c_alcohol,16_1_w9c,16_1_w11c,17_0_anteiso,17_0_cyclo,17_0_iso,17_0_3oh,17_0_10_methyl,17_1_anteiso_a,17_1_anteiso_w9c,17_1_w6c,17_1_w8c,18_0_iso,18_0_2oh,18_1_2oh,18_1_w5c,18_1_w7c_11_methyl,18_1_w9c,18_3_w6c_6_9_12,19_0_anteiso,19_0_cyclo_w8c,19_0_iso,20_0_iso,20_1_w7c,20_1_w9c,20_4_w6_9_12_15c,20_2_w6_9c,x16_1_w7c_16_1_w6c,x17_1_iso_i_anteiso_b,x18_0_ante_18_2_w6_9c,x19_1_w11c_19_1_w9c,x19_1_w7c_19_1_w6c,x18_1_w7c_18_1_w6c,x16_0_10_methyl_17_1_iso_w9c
2021-05-10-5-PX-5,5-PX-5,2021,10/05/2021,May,spring,PX,PX5,sediment,8,relative,NA,0.24,NA,1.07,23.6,1.13,16.34,23.08,0.41,NA,0.14,0.34,NA,0.22,NA,NA,0.32,0.27,0.54,0.2,0.45,0.54,NA,0.22,NA,0.98,1.27,NA,0.46,0.14,0.37,NA,0.61,NA,0.68,0.25,NA,NA,0.84,0.5,0.3,NA,NA,2.06,1.04,2.43,NA,NA,3.84,NA,NA,0.76,NA,0.11,0.31,1.77,NA,1.29,1.34,NA,0.74,NA,0.74,NA,NA,1.6,NA,2.47,NA,0.44,NA,1.02,2.52,NA
2021-05-10-5-PX-5,5-PX-5,2021,10/05/2021,May,spring,PX,PX5,sediment,8,absolute,NA,0.103986135,NA,0.463604853,10.22530329,0.489601386,7.079722704,10,0.177642981,NA,6.07E-02,0.147313692,NA,9.53E-02,NA,NA,0.13864818,0.116984402,0.233968804,8.67E-02,0.194974003,0.233968804,NA,9.53E-02,NA,0.424610052,0.550259965,NA,0.199306759,6.07E-02,0.160311958,NA,0.264298094,NA,0.294627383,0.108318891,NA,NA,0.363951473,0.216637782,0.129982669,NA,NA,0.89254766,0.450606586,1.052859619,NA,NA,1.663778163,NA,NA,0.329289428,NA,4.77E-02,0.134315425,0.766897747,NA,0.558925477,0.580589255,NA,0.320623917,NA,0.320623917,NA,NA,0.693240901,NA,1.070190641,NA,0.190641248,NA,0.441941075,1.091854419,NA
2021-05-10-5-PX-6,5-PX-6,2021,10/05/2021,May,spring,PX,PX6,sediment,9,relative,NA,0.15,0.09,1.38,21.27,0.8,11.61,11.47,0.33,NA,NA,0.14,NA,0.11,0.1,NA,0.19,0.15,0.26,NA,0.22,0.69,NA,0.13,NA,1.84,2.6,0.52,0.74,NA,0.34,NA,0.34,7.00E-02,0.98,0.19,0.16,0.13,0.66,1.91,0.18,0.83,NA,1.46,1.87,1.97,NA,NA,NA,2.26,NA,0.88,1.41,NA,0.19,2.26,1.17,3.05,NA,NA,1.09,NA,0.54,0.19,0.49,1.52,NA,6.7,NA,NA,NA,0.5,5.67,6.19
2021-05-10-5-PX-6,5-PX-6,2021,10/05/2021,May,spring,PX,PX6,sediment,9,absolute,NA,0.130775937,7.85E-02,1.203138622,18.5440279,0.697471665,10.12205754,10,0.287707062,NA,NA,0.122057541,NA,9.59E-02,8.72E-02,NA,0.16564952,0.130775937,0.226678291,NA,0.191804708,0.601569311,NA,0.113339146,NA,1.60418483,2.266782912,0.453356582,0.64516129,NA,0.296425458,NA,0.296425458,6.10E-02,0.85440279,0.16564952,0.139494333,0.113339146,0.575414124,1.665213601,0.156931125,0.723626853,NA,1.272885789,1.630340017,1.717523976,NA,NA,NA,1.970357454,NA,0.767218832,1.22929381,0,0.16564952,1.970357454,1.02005231,2.659110724,NA,NA,0.950305144,NA,0.470793374,0.16564952,0.427201395,1.325196164,NA,5.841325196,NA,NA,NA,0.435919791,4.943330427,5.39668701
2021-05-11-5-PX-4,5-PX-4,2021,11/05/2021,May,spring,PX,PX4,sediment,10,relative,NA,0.32,NA,1.2,15.38,1.45,15.62,22.79,0.33,0.28,0.27,NA,NA,0.31,0.14,NA,0.41,0.12,0.56,NA,0.56,NA,NA,NA,0.13,0.83,1,NA,0.54,0.2,0.42,NA,0.83,0.19,0.59,NA,0.41,NA,1.01,0.23,0.32,NA,NA,2.56,1.22,3.73,NA,NA,5.6,NA,NA,NA,NA,0.35,0.61,NA,NA,0.41,2.28,NA,NA,8.32,NA,NA,NA,1.76,NA,0.82,NA,NA,1.21,2.88,1.8,NA
2021-05-11-5-PX-4,5-PX-4,2021,11/05/2021,May,spring,PX,PX4,sediment,10,absolute,NA,0.140412462,NA,0.526546731,6.748573936,0.636243967,6.853883282,10,0.144800351,0.122860904,0.118473014,NA,NA,0.136024572,6.14E-02,NA,0.179903466,5.27E-02,0.245721808,NA,0.245721808,NA,NA,NA,5.70E-02,0.364194822,0.438788943,NA,0.236946029,8.78E-02,0.184291356,NA,0.364194822,8.34E-02,0.258885476,NA,0.179903466,NA,0.443176832,0.100921457,0.140412462,NA,NA,1.123299693,0.53532251,1.636682756,NA,NA,2.457218078,NA,NA,NA,0,0.15357613,0.267661255,NA,NA,0.179903466,1.000438789,NA,NA,3.650724002,NA,NA,NA,0.772268539,NA,0.359806933,NA,NA,0.53093462,1.263712154,0.789820097,NA
2021-05-11-5-PX-5,5-PX-5,2021,11/05/2021,May,spring,PX,PX5,sediment,11,relative,NA,0.11,NA,1.53,20.91,1.45,11.76,16.73,0.3,NA,NA,0.13,NA,0.11,NA,NA,0.23,0.12,0.36,NA,0.34,0.58,NA,NA,NA,1.4,1.94,0.54,0.63,NA,0.32,NA,0.38,NA,0.76,0.32,NA,NA,0.68,1.15,0.21,NA,NA,2,1.39,2.48,NA,NA,3.25,NA,NA,0.8,NA,NA,0.32,1.94,NA,2.28,0.91,NA,1.11,NA,0.65,NA,0.49,1.71,NA,5.34,NA,NA,NA,0.92,3.9,7.55
2021-05-11-5-PX-5,5-PX-5,2021,11/05/2021,May,spring,PX,PX5,sediment,11,absolute,NA,6.58E-02,NA,0.914524806,12.49850568,0.866706515,7.029288703,10,0.179318589,NA,NA,7.77E-02,NA,6.58E-02,NA,NA,0.137477585,7.17E-02,0.215182307,NA,0.203227735,0.346682606,NA,NA,NA,0.836820084,1.159593545,0.322773461,0.376569038,NA,0.191273162,NA,0.22713688,NA,0.45427376,0.191273162,NA,NA,0.406455469,0.687387926,0.125523013,NA,NA,1.195457262,0.830842797,1.482367005,NA,NA,1.942618051,NA,NA,0.478182905,NA,NA,0.191273162,1.159593545,NA,1.362821279,0.543933054,NA,0.663478781,NA,0.38852361,NA,0.292887029,1.022115959,NA,3.191870891,NA,NA,NA,0.549910341,2.331141662,4.512851166
2021-05-11-5-PX-6,5-PX-6,2021,11/05/2021,May,spring,PX,PX6,sediment,12,relative,NA,0.29,NA,1.03,16.25,1.01,9.07,21.86,0.38,NA,0.1,NA,NA,0.18,NA,NA,0.37,0.13,NA,NA,0.37,0.49,NA,0.15,NA,1.58,2.02,0.55,0.72,NA,0.31,NA,0.39,0.12,0.9,0.3,0.24,NA,0.59,1.5,0.16,0.66,NA,1.94,1.31,2.51,NA,NA,NA,3.91,NA,1.31,NA,NA,0.36,1.76,1.24,2.36,0.43,NA,1.13,NA,0.57,NA,0.68,1.64,NA,4.53,NA,NA,NA,0.84,4.26,7.47
2021-05-11-5-PX-6,5-PX-6,2021,11/05/2021,May,spring,PX,PX6,sediment,12,absolute,NA,0.132662397,NA,0.471180238,7.433668801,0.462031107,4.149130833,10,0.173833486,NA,4.57E-02,NA,NA,8.23E-02,NA,NA,0.16925892,5.95E-02,NA,NA,0.16925892,0.224153705,NA,6.86E-02,NA,0.722781336,0.924062214,0.251601098,0.32936871,NA,0.141811528,NA,0.178408051,5.49E-02,0.411710887,0.137236962,0.10978957,NA,0.26989936,0.686184812,7.32E-02,0.301921317,NA,0.887465691,0.59926807,1.148215919,NA,NA,NA,1.788655078,NA,0.59926807,NA,NA,0.164684355,0.805123513,0.567246112,1.079597438,0.196706313,NA,0.516925892,NA,0.260750229,NA,0.311070448,0.750228728,NA,2.072278134,NA,NA,NA,0.384263495,1.948764867,3.417200366
2021-05-12-5-PX-4,5-PX-4,2021,12/05/2021,May,spring,PX,PX4,sediment,13,relative,NA,NA,NA,1.13,21.62,1.19,15.78,17.75,0.34,NA,NA,0.22,NA,NA,NA,NA,NA,0.19,0.48,NA,NA,0.45,NA,NA,NA,0.92,1.3,0.48,0.65,NA,0.43,NA,0.46,NA,0.59,NA,NA,NA,0.73,0.67,0.25,NA,NA,2.28,1.23,3.09,NA,NA,4.43,NA,NA,NA,NA,NA,NA,2.14,NA,1.31,0.72,NA,1.09,7.1,NA,0.27,NA,1.75,1.33,2.69,NA,0.39,NA,1.25,3.32,NA
2021-05-12-5-PX-4,5-PX-4,2021,12/05/2021,May,spring,PX,PX4,sediment,13,absolute,NA,NA,NA,0.636619718,12.18028169,0.670422535,8.890140845,10,0.191549296,NA,NA,0.123943662,NA,NA,NA,NA,NA,0.107042254,0.270422535,NA,NA,0.253521127,NA,NA,NA,0.518309859,0.732394366,0.270422535,0.366197183,NA,0.242253521,NA,0.25915493,NA,0.332394366,NA,NA,NA,0.411267606,0.377464789,0.14084507,NA,NA,1.284507042,0.692957746,1.74084507,NA,NA,2.495774648,NA,NA,NA,NA,NA,NA,1.205633803,NA,0.738028169,0.405633803,NA,0.614084507,4,NA,0.152112676,NA,0.985915493,0.749295775,1.515492958,NA,0.21971831,NA,0.704225352,1.870422535,NA
2021-05-12-5-PX-5,5-PX-5,2021,12/05/2021,May,spring,PX,PX5,sediment,14,relative,NA,0.32,NA,0.86,17.59,1.11,12.06,30.57,0.41,NA,NA,0.24,NA,0.26,NA,NA,0.47,0.2,0.71,NA,NA,0.52,0.17,NA,0.15,1.1,1.43,NA,0.55,0.14,0.38,NA,0.67,0.16,0.81,0.26,0.21,NA,0.97,0.58,0.29,NA,NA,2.24,1.17,2.63,NA,NA,4.39,NA,NA,0.73,NA,NA,NA,2.32,NA,1.23,1.86,NA,0.82,NA,0.92,NA,NA,1.37,NA,2.51,NA,0.45,NA,1.22,2.94,NA
